name,latitude,longitude,country,trend,uncertainty,pValue,_id
CORDOVA,60.558333,-145.751667,UNITED STATES,0.9500,1.7710,0.5917,566
"KODIAK ISLAND,  WOMENS BAY",57.731667,-152.511667,UNITED STATES,-9.3740,0.7300,0.0000,567
TIKSI (TIKSI BUKHTA),71.583333,128.916667,RUSSIAN FEDERATION,2.8720,1.5300,0.0605,569
WAKE ISLAND,19.290000,166.616667,MARSHALL ISLANDS,2.8240,0.8410,0.0008,595
AMDERMA,69.750000,61.700000,RUSSIAN FEDERATION,7.1140,2.1400,0.0009,599
SANNIKOVA (SANNIKOVA PROLIV),74.666667,138.900000,RUSSIAN FEDERATION,2.2220,1.8910,0.2400,602
KIPTOPEKE BEACH,37.165000,-75.988333,UNITED STATES,4.2470,0.8340,0.0000,636
TOWNSVILLE I,-19.250000,146.833333,AUSTRALIA,3.5050,0.8930,0.0001,637
REYKJAVIK,64.150583,-21.939889,ICELAND,1.2890,1.0960,0.2396,638
DUNAI (DUNAI OSTROV),73.933333,124.500000,RUSSIAN FEDERATION,2.5040,1.8980,0.1871,640
KOTELNYI (KOTELNYI OSTROV),76.000000,137.866667,RUSSIAN FEDERATION,6.6660,1.7200,0.0001,641
KIGILIAH,73.333333,139.866667,RUSSIAN FEDERATION,0.5470,1.6930,0.7466,642
TROMSO,69.647424,18.961323,NORWAY,0.6850,1.0940,0.5312,680
HARSTAD,68.801261,16.548236,NORWAY,0.2240,1.0930,0.8376,681
KRISTIANSUND,63.113859,7.734352,NORWAY,0.4430,1.1020,0.6877,682
BURNIE,-41.050083,145.915000,AUSTRALIA,2.8020,0.7600,0.0002,683
MURMANSK,68.966667,33.050000,RUSSIAN FEDERATION,2.3620,2.5140,0.3475,684
SPLIT RT MARJANA,43.508333,16.391667,CROATIA,-1.8430,1.5930,0.2473,685
KAINAN,34.144167,135.191389,JAPAN,0.0560,0.8510,0.9475,701
HANSTHOLM,57.118889,8.595556,DENMARK,2.6090,1.1110,0.0189,703
ASAMUSHI,40.897500,140.859167,JAPAN,0.4410,0.5030,0.3806,721
YOKOSUKA,35.288056,139.651389,JAPAN,5.6450,0.6830,0.0000,722
DALIAN,38.866667,121.683333,CHINA,3.5410,1.1950,0.0030,723
SEMBAWANG,1.466667,103.833333,SINGAPORE,2.3610,2.4810,0.3413,724
IZVESTIA TSIK (IZVESTIA TSIK OSTROVA),75.950000,82.950000,RUSSIAN FEDERATION,-1.3200,1.2060,0.2737,728
KASHIWAZAKI,37.356667,138.508333,JAPAN,3.1700,1.0260,0.0020,753
LOWESTOFT,52.473111,1.750111,UNITED KINGDOM,3.4770,0.8260,0.0000,754
MILLPORT,55.749806,-4.906333,UNITED KINGDOM,1.2460,0.5340,0.0196,755
"NAWILIWILI BAY, KAUAI ISLAND",21.953333,-159.355000,UNITED STATES,1.4360,0.8460,0.0896,756
UNALASKA,53.880000,-166.536667,UNITED STATES,-2.5000,0.9670,0.0097,757
HAMMERFEST,70.664641,23.683227,NORWAY,1.0550,1.0210,0.3015,758
MAGUEYES ISLAND,17.970000,-67.045000,PUERTO RICO,2.7380,0.4660,0.0000,759
DUBROVNIK,42.658300,18.063300,CROATIA,4.1070,1.1130,0.0002,760
ROVINJ,45.083300,13.628300,CROATIA,2.3920,0.7100,0.0008,761
RODBYHAVN,54.655833,11.348611,DENMARK,1.1640,1.7000,0.4935,762
REEDY POINT,39.558333,-75.573333,UNITED STATES,4.0290,0.7060,0.0000,786
KIEL-HOLTENAU,54.372222,10.156944,GERMANY,1.8240,0.8900,0.0404,789
SHIMIZU-MINATO,35.011667,138.517500,JAPAN,7.6800,1.0300,0.0000,808
KOMATSUSHIMA,34.009167,134.587778,JAPAN,3.4480,0.9180,0.0002,809
MISUMI,32.623056,130.451389,JAPAN,5.0600,1.0740,0.0000,810
SAKAI,35.547778,133.243056,JAPAN,5.1960,1.0910,0.0000,811
UNO,34.488611,133.949444,JAPAN,4.8880,1.0500,0.0000,812
HAKODATE I,41.781667,140.724722,JAPAN,-2.2430,0.7540,0.0029,813
ABURATSU,31.576944,131.409444,JAPAN,4.1810,0.9730,0.0000,814
TOSA SHIMIZU,32.779167,132.958889,JAPAN,4.6900,1.1970,0.0001,815
WAKAYAMA,34.221667,135.145556,JAPAN,0.6160,0.9850,0.5317,816
TAN-NOWA,34.338889,135.178056,JAPAN,3.6650,0.9270,0.0001,817
MAR DEL PLATA (NAVAL BASE),-38.033333,-57.516667,ARGENTINA,2.4990,0.9990,0.0124,819
BRISBANE (WEST INNER BAR),-27.366667,153.166667,AUSTRALIA,3.2680,1.5480,0.0348,822
MOKUOLOE ISLAND,21.431667,-157.790000,UNITED STATES,1.3280,0.7520,0.0774,823
PETROPAVLOVSK-KAMCHATSKY,52.983333,158.650000,RUSSIAN FEDERATION,4.9260,0.8810,0.0000,824
GLADSTONE,-23.853833,151.313667,AUSTRALIA,3.8860,0.9060,0.0000,825
"GALVESTON I, PLEASURE PIER, TX",29.285000,-94.788333,UNITED STATES,4.6430,1.2150,0.0001,828
QUEEN CHARLOTTE CITY,53.250000,-132.066667,CANADA,1.6550,0.7740,0.0325,829
PORT KEMBLA,-34.473750,150.911861,AUSTRALIA,3.3670,0.7020,0.0000,831
PALERMO,-34.566667,-58.400000,ARGENTINA,0.2890,1.1870,0.8076,832
EDEN,-37.073660,149.907739,AUSTRALIA,1.0210,0.9460,0.2805,833
BUNBURY,-33.323444,115.659972,AUSTRALIA,3.0280,1.2960,0.0195,834
KARUMBA,-17.500000,140.833333,AUSTRALIA,3.5080,1.8080,0.0523,835
NEWCASTLE V,-32.924000,151.788583,AUSTRALIA,2.3030,0.9650,0.0170,837
HONDAU,20.666667,106.800000,VIET NAM,1.9120,1.0780,0.0761,841
MOZI,33.950000,130.966667,JAPAN,3.9750,1.0290,0.0001,912
ARGENTINE ISLANDS,-65.246233,-64.257417,ANTARCTICA,0.1870,1.0640,0.8605,913
ZHAPO,21.583333,111.816667,CHINA,2.5770,0.8020,0.0013,933
KANMEN,28.083333,121.283333,CHINA,3.3700,0.6630,0.0000,934
DARWIN,-12.471778,130.845861,AUSTRALIA,5.9150,2.2260,0.0079,935
PORTNEUF,46.683333,-71.883333,CANADA,0.0330,3.7620,0.9930,951
SIBAURA,35.633333,139.750000,JAPAN,3.0850,0.9430,0.0011,952
MOKPO,34.779722,126.375556,"KOREA, REPUBLIC OF",5.4040,1.2560,0.0000,954
BUSAN,35.096111,129.035556,"KOREA, REPUBLIC OF",2.7680,0.7260,0.0001,955
INCHEON,37.451944,126.592222,"KOREA, REPUBLIC OF",4.0500,1.5650,0.0097,956
ALBANY,-35.033722,117.892556,AUSTRALIA,4.1170,1.4550,0.0047,957
COCOS ISLAND (HOME IS.),-12.116694,96.894417,COCOS (KEELING) ISLANDS,8.1180,1.1960,0.0000,983
BELLA BELLA,52.166667,-128.133333,CANADA,0.9120,0.8880,0.3044,984
CADIZ III,36.540100,-6.286200,SPAIN,2.0550,1.1080,0.0636,985
ULSAN,35.501944,129.387222,"KOREA, REPUBLIC OF",2.0420,1.0970,0.0627,997
ST-FRANCOIS,47.000000,-70.816667,CANADA,1.8210,1.4700,0.2154,999
SAN JUAN,18.458333,-66.115000,PUERTO RICO,3.0520,0.5720,0.0000,1001
HONNGU,18.800000,105.766667,VIET NAM,-8.8670,2.7170,0.0011,1003
OSHORO II,43.209444,140.858056,JAPAN,0.7940,0.4200,0.0587,1027
HIROSIMA,34.353056,132.464722,JAPAN,6.0880,0.8930,0.0000,1028
GERALDTON,-28.775972,114.601889,AUSTRALIA,6.4980,2.6100,0.0128,1031
ILHA FISCAL,-22.896667,-43.166667,BRAZIL,0.3520,2.8270,0.9009,1032
STONY POINT,-38.372139,145.224694,AUSTRALIA,2.3040,0.8750,0.0085,1033
"TAI PO KAU, TOLO HARBOUR",22.442500,114.183889,HONG KONG,3.8740,1.1620,0.0009,1034
AMRUM (WITTDUEN),54.616667,8.383333,GERMANY,2.9990,2.6680,0.2610,1036
BORKUM (FISCHERBALJE),53.557500,6.747778,GERMANY,2.8660,1.2650,0.0235,1037
MATSUYAMA II,33.858889,132.712222,JAPAN,1.8120,0.7860,0.0211,1062
MINAMI IZU,34.616667,138.883333,JAPAN,4.5380,1.3590,0.0008,1064
WHANGAREI HARBOUR (MARSDEN POINT),-35.757430,174.350030,NEW ZEALAND,3.0140,1.0250,0.0033,1065
JEJU,33.527500,126.543056,"KOREA, REPUBLIC OF",6.0650,0.6630,0.0000,1066
BRIDGEPORT,41.173333,-73.181667,UNITED STATES,3.6970,0.9160,0.0001,1068
VICTOR HARBOUR,-35.562481,138.635403,AUSTRALIA,2.1290,1.1300,0.0596,1069
SELDOVIA,59.440000,-151.720000,UNITED STATES,-8.8880,1.2500,0.0000,1070
PORT HARDY,50.716667,-127.483333,CANADA,0.4300,0.8570,0.6158,1071
URAGAMI,33.558333,135.896389,JAPAN,4.0460,1.1470,0.0004,1090
OKADA,34.789444,139.391389,JAPAN,-0.8580,0.9120,0.3468,1091
AWA SIMA,38.467778,139.255000,JAPAN,4.8390,0.8100,0.0000,1093
HAKATA,33.618889,130.407778,JAPAN,3.9040,0.8850,0.0000,1094
SAIGO,36.201389,133.331111,JAPAN,3.6370,0.8450,0.0000,1095
NISINOOMOTE,30.735000,130.992222,JAPAN,3.2800,0.4240,0.0000,1096
ODOMARI,31.023611,130.689167,JAPAN,3.8440,1.0460,0.0002,1097
SUMOTO,34.340556,134.906667,JAPAN,4.3700,0.8880,0.0000,1098
NAGASAKI,32.735000,129.866111,JAPAN,3.6980,0.5440,0.0000,1100
FUKUE,32.696111,128.849444,JAPAN,2.9730,0.7580,0.0001,1101
OURA,32.976667,130.220556,JAPAN,3.6600,0.6900,0.0000,1102
WAKKANAI,45.407778,141.685278,JAPAN,3.1220,0.3430,0.0000,1103
ABASHIRI,44.019444,144.285833,JAPAN,2.6790,0.8730,0.0021,1104
NAKANO SIMA,29.841944,129.847778,JAPAN,4.0730,0.4130,0.0000,1105
FORT MYERS,26.646667,-81.870000,UNITED STATES,3.8460,0.7190,0.0000,1106
NAPLES,26.131667,-81.806667,UNITED STATES,3.8770,0.8180,0.0000,1107
MUKHO,37.550278,129.116389,"KOREA, REPUBLIC OF",2.6250,0.8940,0.0033,1108
WICK,58.440972,-3.086306,UNITED KINGDOM,1.9730,0.6640,0.0030,1109
NANTUCKET ISLAND,41.285000,-70.096667,UNITED STATES,4.3170,0.8030,0.0000,1111
ULLAPOOL,57.895250,-5.157889,UNITED KINGDOM,1.6750,0.7560,0.0267,1112
HELGEROA,58.995212,9.856379,NORWAY,-0.7010,0.8900,0.4309,1113
ESPERANCE,-33.870889,121.895361,AUSTRALIA,5.4680,1.6920,0.0012,1114
CARNARVON,-24.898694,113.651028,AUSTRALIA,3.6240,1.8080,0.0450,1115
WYNDHAM,-15.453278,128.101028,AUSTRALIA,5.4790,1.7060,0.0013,1116
OWASE,34.076389,136.207222,JAPAN,-0.4620,0.6930,0.5050,1146
SASEBO II,33.158056,129.723889,JAPAN,3.8010,0.7240,0.0000,1147
TAJIRI,35.593611,134.315833,JAPAN,3.9160,0.5260,0.0000,1148
MIYAKO II,39.643056,141.975278,JAPAN,4.2880,0.8640,0.0000,1149
SHIRAHAMA,33.683611,135.375278,JAPAN,2.5390,1.0790,0.0186,1150
NAHA,26.213333,127.665278,JAPAN,2.7020,0.6420,0.0000,1151
PATRICIA BAY,48.650000,-123.450000,CANADA,1.9160,1.1360,0.0917,1152
CAPE MAY,38.968333,-74.960000,UNITED STATES,5.7660,1.1260,0.0000,1153
"BUNDABERG, BURNETT HEADS",-24.766667,152.383333,AUSTRALIA,3.3590,0.8000,0.0000,1154
YEOSU,34.747222,127.765556,"KOREA, REPUBLIC OF",1.5260,0.7060,0.0307,1155
