name,latitude,longitude,country,trend,uncertainty,pValue,_id
PENSACOLA,30.403333,-87.210000,UNITED STATES,2.2090,0.4390,0.0000,246
FOGLO / DEGERBY,60.031883,20.384817,ÅLAND ISLANDS,-3.6160,0.6890,0.0000,249
LA JOLLA (SCRIPPS PIER),32.866667,-117.256667,UNITED STATES,2.0840,0.3480,0.0000,256
ASTORIA (TONGUE POINT),46.206667,-123.768333,UNITED STATES,-0.1690,0.5570,0.7616,265
SEWARD,60.120000,-149.426667,UNITED STATES,-2.5820,0.6560,0.0001,266
KASKINEN / KASKO,62.343950,21.214833,FINLAND,-5.6540,0.7270,0.0000,285
IMMINGHAM,53.630222,-0.187417,UNITED KINGDOM,1.0910,0.4910,0.0263,286
"SEWELLS POINT, HAMPTON ROADS",36.946667,-76.330000,UNITED STATES,5.0230,0.4570,0.0000,299
"HILO,  HAWAII ISLAND",19.730000,-155.055000,UNITED STATES,2.2810,0.4870,0.0000,300
TREGDE,58.006377,7.554759,NORWAY,0.3460,0.3020,0.2519,302
ANNAPOLIS (NAVAL ACADEMY),38.983333,-76.480000,UNITED STATES,3.4180,0.4170,0.0000,311
NARVIK,68.428286,17.425759,NORWAY,-1.9550,0.5970,0.0011,312
HEIMSJO,63.425224,9.101504,NORWAY,-1.0120,0.4990,0.0426,313
HAMINA,60.562767,27.179200,FINLAND,-0.4820,0.8230,0.5581,315
MAYPORT,30.393333,-81.431667,UNITED STATES,3.0420,0.6820,0.0000,316
KLAGSHAMN,55.522222,12.893611,SWEDEN,1.0860,0.4450,0.0147,330
EASTPORT,44.903333,-66.981667,UNITED STATES,1.5600,0.5420,0.0040,332
NEWPORT,41.505000,-71.326667,UNITED STATES,3.0000,0.3680,0.0000,351
SPLIT - GRADSKA LUKA,43.506700,16.441700,CROATIA,0.9850,0.5820,0.0906,352
BAKAR,45.300000,14.533333,CROATIA,1.1650,0.4920,0.0179,353
WASHINGTON DC,38.873333,-77.021667,UNITED STATES,3.4540,0.4890,0.0000,360
ABERDEEN I,57.144056,-2.077361,UNITED KINGDOM,1.6530,0.4310,0.0001,361
WILLETS POINT,40.793333,-73.781667,UNITED STATES,2.0850,0.6000,0.0005,362
SANDY HOOK,40.466667,-74.008333,UNITED STATES,4.1280,0.4080,0.0000,366
WOODS HOLE (OCEAN. INST.),41.523333,-70.671667,UNITED STATES,2.9520,0.4210,0.0000,367
ST. GEORGES / ESSO PIER (BERMUDA),32.373333,-64.703333,BERMUDA,1.8640,0.5980,0.0018,368
RAUMA / RAUMO,61.133533,21.425817,FINLAND,-4.2510,0.7190,0.0000,376
SANTA MONICA (MUNICIPAL PIER),34.008333,-118.500000,UNITED STATES,0.9090,0.4340,0.0362,377
CRESCENT CITY,41.745000,-124.181667,UNITED STATES,-0.9480,0.3970,0.0169,378
FRIDAY HARBOR (OCEAN. LABS.),48.546667,-123.010000,UNITED STATES,1.0430,0.3930,0.0080,384
NEAH BAY,48.366667,-124.611667,UNITED STATES,-2.2290,0.4130,0.0000,385
PORT AUX BASQUES,47.566667,-59.133333,CANADA,2.3210,0.4620,0.0000,392
"ST. JOHN'S, NFLD.",47.566667,-52.716667,CANADA,2.4050,0.4180,0.0000,393
CEBU,10.300000,123.916667,PHILIPPINES,1.7030,0.6910,0.0137,394
FORT PULASKI,32.033333,-80.901667,UNITED STATES,3.2020,0.2830,0.0000,395
WILMINGTON,34.226667,-77.953333,UNITED STATES,2.2030,0.4590,0.0000,396
SASSNITZ,54.510833,13.643056,GERMANY,1.2300,0.4500,0.0063,397
JUNEAU,58.298333,-134.411667,UNITED STATES,-13.8600,0.4920,0.0000,405
UCHIURA,35.017222,138.890278,JAPAN,-0.2980,0.6600,0.6516,407
SOLOMON'S ISLAND (BIOL. LAB.),38.316667,-76.451667,UNITED STATES,4.0030,0.4000,0.0000,412
OOSTENDE,51.233333,2.916667,BELGIUM,2.3130,0.3510,0.0000,413
SITKA,57.051667,-135.341667,UNITED STATES,-2.2100,0.3980,0.0000,426
CHARLOTTETOWN,46.233333,-63.116667,CANADA,3.0770,0.3530,0.0000,427
CEDAR KEY II,29.135000,-83.031667,UNITED STATES,1.9570,0.4310,0.0000,428
NEW LONDON,41.360000,-72.090000,UNITED STATES,3.1200,0.4960,0.0000,429
PROVIDENCE (STATE PIER),41.806667,-71.400000,UNITED STATES,2.5690,0.4380,0.0000,430
DUBLIN,53.350000,-6.216667,IRELAND,3.0430,1.3760,0.0270,432
ALAMEDA (NAVAL AIR STATION),37.771667,-122.298333,UNITED STATES,0.6300,0.4810,0.1903,437
COCHIN (WILLINGDON IS.),9.966667,76.266667,INDIA,1.2520,0.5250,0.0171,438
YAKUTAT,59.548333,-139.733333,UNITED STATES,-9.5520,1.2540,0.0000,445
KO TAPHAO NOI,7.833333,98.433333,THAILAND,3.8530,1.3490,0.0043,446
CHURCHILL,58.766667,-94.183333,CANADA,-10.5280,1.1110,0.0000,447
PORT ADELAIDE (OUTER HARBOR),-34.779761,138.480728,AUSTRALIA,1.7480,0.4500,0.0001,448
KO SICHANG,13.150000,100.816667,THAILAND,1.9900,0.6030,0.0010,449
LE HAVRE,49.481900,0.106000,FRANCE,2.6500,0.4450,0.0000,453
CHERBOURG,49.651299,-1.635630,FRANCE,1.3400,0.4770,0.0050,467
ZEEBRUGGE,51.350000,3.200000,BELGIUM,2.8620,0.3970,0.0000,470
VIGO,42.238000,-8.731000,SPAIN,1.5990,0.4450,0.0003,483
LA CORUNA I,43.368600,-8.397750,SPAIN,2.1160,0.4670,0.0000,484
SANTANDER I,43.461300,-3.790800,SPAIN,1.9100,0.5850,0.0011,485
MALOY,61.933776,5.113310,NORWAY,1.0500,0.4160,0.0116,486
TARIFA,36.008600,-5.602600,SPAIN,1.6960,0.6230,0.0065,488
NIEUWPOORT,51.150000,2.733333,BELGIUM,2.8370,0.5060,0.0000,489
SKAGWAY,59.450000,-135.326667,UNITED STATES,-18.1540,0.6350,0.0000,495
MALAGA,36.712700,-4.415460,SPAIN,2.3160,0.9560,0.0154,496
PORT ISABEL,26.060000,-97.215000,UNITED STATES,4.3430,0.5500,0.0000,497
CEUTA,35.892400,-5.315890,SPAIN,0.9720,0.3560,0.0063,498
ALEXANDRIA,31.216667,29.916667,EGYPT,1.5520,0.3780,0.0000,503
PORT SAN LUIS,35.176667,-120.760000,UNITED STATES,0.4240,0.3610,0.2402,508
ALESUND,62.469414,6.151946,NORWAY,0.8700,0.5070,0.0862,509
ANTOFAGASTA 2,-23.653056,-70.404444,CHILE,-0.4100,0.4310,0.3415,510
KWAJALEIN,8.731667,167.735000,MARSHALL ISLANDS,2.5900,0.6450,0.0001,513
KUSHIRO,42.975556,144.371389,JAPAN,8.8770,0.5030,0.0000,518
MONTAUK,41.048333,-71.960000,UNITED STATES,3.7020,0.5540,0.0000,519
ST. PETERSBURG,27.760000,-82.626667,UNITED STATES,2.7260,0.2700,0.0000,520
"KAHULUI HARBOR, MAUI ISLAND",20.895000,-156.476667,UNITED STATES,1.6120,0.4110,0.0001,521
"LEGASPI, ALBAY",13.150000,123.750000,PHILIPPINES,6.8320,0.7660,0.0000,522
MIDWAY ISLAND,28.211667,-177.360000,UNITED STATES MINOR OUTLYING ISLANDS,1.6390,0.3680,0.0000,523
"BAR HARBOR, FRENCHMAN BAY, ME",44.391667,-68.205000,UNITED STATES,1.8490,0.3020,0.0000,525
GRAND ISLE,29.263333,-89.956667,UNITED STATES,8.9170,0.8260,0.0000,526
ROCKPORT,28.021667,-97.046667,UNITED STATES,6.5040,0.8540,0.0000,538
PAGO PAGO,-14.280000,-170.690000,AMERICAN SAMOA,3.0180,0.6400,0.0000,539
"APRA HARBOUR,  GUAM",13.438333,144.653333,GUAM,2.9510,1.0000,0.0032,540
BARENTSBURG,78.066667,14.250000,SVALBARD AND JAN MAYEN,-3.0480,0.6660,0.0000,541
DIAMOND HARBOUR,22.200000,88.166667,INDIA,3.8560,0.6290,0.0000,543
LA LIBERTAD II,-2.200000,-80.916667,ECUADOR,-1.2860,0.8010,0.1084,544
BODO,67.288290,14.390813,NORWAY,-0.3910,0.8960,0.6626,562
GIBARA,21.108333,-76.125000,CUBA,1.4050,0.4800,0.0034,563
MACKAY,-21.100000,149.233333,AUSTRALIA,2.0640,0.5050,0.0000,564
CORDOVA,60.558333,-145.751667,UNITED STATES,4.6180,1.0600,0.0000,566
TIKSI (TIKSI BUKHTA),71.583333,128.916667,RUSSIAN FEDERATION,2.0500,0.5740,0.0004,569
WAKE ISLAND,19.290000,166.616667,MARSHALL ISLANDS,2.0050,0.4110,0.0000,595
GLOUCESTER POINT,37.246667,-76.500000,UNITED STATES,3.9430,0.5990,0.0000,597
JOHNSTON ISLAND,16.738333,-169.530000,UNITED STATES MINOR OUTLYING ISLANDS,0.6650,0.5050,0.1879,598
AMDERMA,69.750000,61.700000,RUSSIAN FEDERATION,4.3350,1.0440,0.0000,599
UST KARA,69.250000,64.516667,RUSSIAN FEDERATION,2.1120,0.4850,0.0000,600
FEDOROVA (CHELUSKIN MYS),77.716667,104.300000,RUSSIAN FEDERATION,2.5030,0.9660,0.0096,601
SANNIKOVA (SANNIKOVA PROLIV),74.666667,138.900000,RUSSIAN FEDERATION,1.8320,0.8850,0.0384,602
SHALAUROVA (SHALAUROVA MYS),73.183333,143.233333,RUSSIAN FEDERATION,1.0520,1.0230,0.3038,603
PEVEK,69.700000,170.250000,RUSSIAN FEDERATION,5.0290,0.9390,0.0000,606
VANKAREM,67.833333,-175.833333,RUSSIAN FEDERATION,4.8930,1.0110,0.0000,607
VRANGELIA (VRANGELIA OSTROV),70.983333,-178.483333,RUSSIAN FEDERATION,4.5000,1.2550,0.0003,608
STERLEGOVA (STERLEGOVA MYS),75.416667,88.900000,RUSSIAN FEDERATION,1.0430,1.1380,0.3594,612
KIPTOPEKE BEACH,37.165000,-75.988333,UNITED STATES,3.7390,0.4010,0.0000,636
TOWNSVILLE I,-19.250000,146.833333,AUSTRALIA,1.5290,0.4330,0.0004,637
REYKJAVIK,64.150583,-21.939889,ICELAND,2.1580,0.5430,0.0001,638
DUNAI (DUNAI OSTROV),73.933333,124.500000,RUSSIAN FEDERATION,3.1050,0.7280,0.0000,640
KOTELNYI (KOTELNYI OSTROV),76.000000,137.866667,RUSSIAN FEDERATION,5.1890,0.7450,0.0000,641
KIGILIAH,73.333333,139.866667,RUSSIAN FEDERATION,1.2850,0.7590,0.0905,642
KOLOBRZEG,54.183333,15.550000,POLAND,1.6380,0.7600,0.0311,643
USTKA,54.583333,16.866667,POLAND,1.5410,0.8250,0.0618,644
WLADYSLAWOWO,54.800000,18.416667,POLAND,2.8760,0.8940,0.0013,645
TROMSO,69.647424,18.961323,NORWAY,0.3630,0.5230,0.4876,680
HARSTAD,68.801261,16.548236,NORWAY,-0.5320,0.5260,0.3118,681
KRISTIANSUND,63.113859,7.734352,NORWAY,-0.6510,0.5310,0.2202,682
MURMANSK,68.966667,33.050000,RUSSIAN FEDERATION,3.6800,1.3140,0.0051,684
SPLIT RT MARJANA,43.508333,16.391667,CROATIA,-0.8060,0.6650,0.2255,685
KAINAN,34.144167,135.191389,JAPAN,-1.4820,0.4320,0.0006,701
HANSTHOLM,57.118889,8.595556,DENMARK,2.5730,0.5760,0.0000,703
VISE (VISE OSTROV),79.500000,76.983333,RUSSIAN FEDERATION,-0.0910,0.5880,0.8770,704
ASAMUSHI,40.897500,140.859167,JAPAN,1.4340,0.2490,0.0000,721
YOKOSUKA,35.288056,139.651389,JAPAN,5.0400,0.3310,0.0000,722
DALIAN,38.866667,121.683333,CHINA,3.2170,0.8160,0.0001,723
SEMBAWANG,1.466667,103.833333,SINGAPORE,1.8830,1.4670,0.1993,724
FREEPORT,28.948333,-95.308333,UNITED STATES,8.2930,1.3490,0.0000,725
XIAMEN,24.450000,118.066667,CHINA,1.4190,0.7630,0.0629,727
IZVESTIA TSIK (IZVESTIA TSIK OSTROVA),75.950000,82.950000,RUSSIAN FEDERATION,-0.3770,0.5210,0.4693,728
GOLOMIANYI (GOLOMIANYI OSTROV),79.550000,90.616667,RUSSIAN FEDERATION,0.1250,0.6940,0.8571,729
AION,69.933333,167.983333,RUSSIAN FEDERATION,3.6090,1.3670,0.0083,730
KASHIWAZAKI,37.356667,138.508333,JAPAN,1.6390,0.5460,0.0027,753
LOWESTOFT,52.473111,1.750111,UNITED KINGDOM,2.5220,0.3940,0.0000,754
"NAWILIWILI BAY, KAUAI ISLAND",21.953333,-159.355000,UNITED STATES,1.0710,0.4330,0.0134,756
UNALASKA,53.880000,-166.536667,UNITED STATES,-4.8050,0.4640,0.0000,757
HAMMERFEST,70.664641,23.683227,NORWAY,0.9880,0.5020,0.0491,758
MAGUEYES ISLAND,17.970000,-67.045000,PUERTO RICO,1.3060,0.2260,0.0000,759
DUBROVNIK,42.658300,18.063300,CROATIA,1.3940,0.5500,0.0113,760
ROVINJ,45.083300,13.628300,CROATIA,0.6180,0.3230,0.0557,761
RODBYHAVN,54.655833,11.348611,DENMARK,1.4730,0.7030,0.0361,762
KIEL-HOLTENAU,54.372222,10.156944,GERMANY,1.6220,0.2740,0.0000,789
SHIMIZU-MINATO,35.011667,138.517500,JAPAN,5.6370,0.4990,0.0000,808
KOMATSUSHIMA,34.009167,134.587778,JAPAN,2.2850,0.4410,0.0000,809
MISUMI,32.623056,130.451389,JAPAN,2.9470,0.5100,0.0000,810
SAKAI,35.547778,133.243056,JAPAN,2.3950,0.5930,0.0001,811
UNO,34.488611,133.949444,JAPAN,5.1950,0.5080,0.0000,812
HAKODATE I,41.781667,140.724722,JAPAN,-0.3290,0.3790,0.3854,813
ABURATSU,31.576944,131.409444,JAPAN,2.0660,0.4950,0.0000,814
TOSA SHIMIZU,32.779167,132.958889,JAPAN,1.8240,0.6260,0.0036,815
WAKAYAMA,34.221667,135.145556,JAPAN,-0.2690,0.4740,0.5704,816
TAN-NOWA,34.338889,135.178056,JAPAN,2.0400,0.4470,0.0000,817
MAR DEL PLATA (NAVAL BASE),-38.033333,-57.516667,ARGENTINA,0.5580,0.4690,0.2341,819
BRISBANE (WEST INNER BAR),-27.366667,153.166667,AUSTRALIA,0.1670,0.9030,0.8533,822
MOKUOLOE ISLAND,21.431667,-157.790000,UNITED STATES,1.1430,0.3680,0.0019,823
PETROPAVLOVSK-KAMCHATSKY,52.983333,158.650000,RUSSIAN FEDERATION,2.7310,0.4250,0.0000,824
"GALVESTON I, PLEASURE PIER, TX",29.285000,-94.788333,UNITED STATES,6.5260,0.5040,0.0000,828
QUEEN CHARLOTTE CITY,53.250000,-132.066667,CANADA,-0.1710,0.4120,0.6781,829
LERWICK,60.154028,-1.140306,UNITED KINGDOM,0.1040,0.3870,0.7881,830
PALERMO,-34.566667,-58.400000,ARGENTINA,1.7010,0.5420,0.0017,832
BUNBURY,-33.323444,115.659972,AUSTRALIA,1.5450,0.6350,0.0150,834
NEWCASTLE V,-32.924000,151.788583,AUSTRALIA,1.1790,0.4920,0.0166,837
HONDAU,20.666667,106.800000,VIET NAM,1.9290,0.4750,0.0000,841
MOZI,33.950000,130.966667,JAPAN,2.1930,0.4070,0.0000,912
ARGENTINE ISLANDS,-65.246233,-64.257417,ANTARCTICA,1.1620,0.5250,0.0269,913
MALIN HEAD,55.366667,-7.333333,IRELAND,-1.2980,0.8030,0.1060,916
SOPOCHNAIA KARGA,71.866667,82.700000,RUSSIAN FEDERATION,2.4390,0.8850,0.0059,917
ZHAPO,21.583333,111.816667,CHINA,2.2560,0.3880,0.0000,933
KANMEN,28.083333,121.283333,CHINA,1.9430,0.3230,0.0000,934
PORTNEUF,46.683333,-71.883333,CANADA,0.0860,1.7120,0.9599,951
SIBAURA,35.633333,139.750000,JAPAN,1.5780,0.3620,0.0000,952
MOKPO,34.779722,126.375556,"KOREA, REPUBLIC OF",3.5940,0.6450,0.0000,954
BUSAN,35.096111,129.035556,"KOREA, REPUBLIC OF",1.9970,0.3690,0.0000,955
INCHEON,37.451944,126.592222,"KOREA, REPUBLIC OF",0.9710,0.8420,0.2488,956
BELLA BELLA,52.166667,-128.133333,CANADA,-0.0460,0.4310,0.9150,984
CADIZ III,36.540100,-6.286200,SPAIN,3.9730,0.5350,0.0000,985
ULSAN,35.501944,129.387222,"KOREA, REPUBLIC OF",1.3320,0.5770,0.0210,997
ST-FRANCOIS,47.000000,-70.816667,CANADA,0.4020,0.7480,0.5910,999
SAN JUAN,18.458333,-66.115000,PUERTO RICO,1.6580,0.2870,0.0000,1001
HONNGU,18.800000,105.766667,VIET NAM,-5.7470,1.3600,0.0000,1003
OSHORO II,43.209444,140.858056,JAPAN,0.5240,0.2170,0.0157,1027
HIROSIMA,34.353056,132.464722,JAPAN,4.5280,0.5080,0.0000,1028
ILHA FISCAL,-22.896667,-43.166667,BRAZIL,2.8880,1.5070,0.0553,1032
"TAI PO KAU, TOLO HARBOUR",22.442500,114.183889,HONG KONG,2.9810,0.5550,0.0000,1034
AMRUM (WITTDUEN),54.616667,8.383333,GERMANY,2.9440,1.1120,0.0081,1036
BORKUM (FISCHERBALJE),53.583333,6.666667,GERMANY,2.2810,0.5060,0.0000,1037
MATSUYAMA II,33.858889,132.712222,JAPAN,-0.0050,0.4150,0.9904,1062
MINAMI IZU,34.616667,138.883333,JAPAN,1.7270,0.5380,0.0013,1064
JEJU,33.527500,126.543056,"KOREA, REPUBLIC OF",5.3120,0.3730,0.0000,1066
BRIDGEPORT,41.173333,-73.181667,UNITED STATES,2.8360,0.4970,0.0000,1068
VICTOR HARBOUR,-35.562481,138.635403,AUSTRALIA,1.1030,0.6270,0.0785,1069
SELDOVIA,59.440000,-151.720000,UNITED STATES,-9.7320,0.5790,0.0000,1070
PORT HARDY,50.716667,-127.483333,CANADA,-0.7280,0.4540,0.1088,1071
URAGAMI,33.558333,135.896389,JAPAN,1.6470,0.6660,0.0134,1090
OKADA,34.789444,139.391389,JAPAN,-1.0760,0.5020,0.0321,1091
AWA SIMA,38.467778,139.255000,JAPAN,3.9360,0.4540,0.0000,1093
HAKATA,33.618889,130.407778,JAPAN,1.6630,0.5350,0.0019,1094
SAIGO,36.201389,133.331111,JAPAN,1.6190,0.4840,0.0008,1095
NISINOOMOTE,30.735000,130.992222,JAPAN,2.0430,0.2310,0.0000,1096
ODOMARI,31.023611,130.689167,JAPAN,1.7290,0.6030,0.0041,1097
SUMOTO,34.340556,134.906667,JAPAN,2.9320,0.4970,0.0000,1098
NAGASAKI,32.735000,129.866111,JAPAN,2.2290,0.3070,0.0000,1100
FUKUE,32.696111,128.849444,JAPAN,1.1950,0.4360,0.0061,1101
OURA,32.976667,130.220556,JAPAN,2.9230,0.3820,0.0000,1102
WAKKANAI,45.407778,141.685278,JAPAN,3.7140,0.2640,0.0000,1103
ABASHIRI,44.019444,144.285833,JAPAN,1.1790,0.5040,0.0193,1104
FORT MYERS,26.646667,-81.870000,UNITED STATES,2.4420,0.3930,0.0000,1106
NAPLES,26.131667,-81.806667,UNITED STATES,2.2930,0.4830,0.0000,1107
MUKHO,37.550278,129.116389,"KOREA, REPUBLIC OF",0.6180,0.5500,0.2612,1108
WICK,58.440972,-3.086306,UNITED KINGDOM,1.3130,0.3640,0.0003,1109
NANTUCKET ISLAND,41.285000,-70.096667,UNITED STATES,3.4710,0.4430,0.0000,1111
OWASE,34.076389,136.207222,JAPAN,-1.4810,0.4160,0.0004,1146
